movie,user_review,source
Nine Queens,"Fabián Bielinski's trickster of a film is the kind of movie that seduces you into becoming putty in its manipulative card-sharking hands and making you enjoy being taken in by its shameless contrivance. When the secrets of its preposterous plot are finally revealed, you don't mind the absurdity. What matters is that the plot makes internal sense as an elaborate self-enclosed contraption. This Argentine movie is the directorial debut of a filmmaker who appears to have steeped himself so thoroughly in Alfred Hitchcock and David Mamet that it's hard to imagine &quot;Nine Queens&quot; having been made without them leering metaphorically over his shoulder. The movie combines Hitchcock's winking tongue-in-cheek vision of a paranoid universe where everyone may be part of an elaborate conspiracy with Mr. Mamet's obsession with the finer points of gamesmanship and con artistry. — Stephen Holden",NYT
Children of Men,"“Children of Men,” the superbly directed political thriller by Alfonso Cuarón, may be something of a bummer, but it’s the kind of glorious bummer that lifts you to the rafters.",NYT
Mulholland Drive,"David Lynch's epic nightmare of Hollywood, which began life as an open-ended television series (like his &quot;Twin Peaks&quot;) and evolved into a movie, may be his masterpiece. A leisurely film noir that turns into a surreal montage, it is a portrait of Hollywood filtered through the director's personal iconography, which in many ways is more early 1960's than contemporary in mood. The story traces the loss of innocence of a dewy  Hollywood hopeful (Naomi Watts) who befriends a mysterious amnesia victim (Laura  Harring) searching for her identity. Their journey figuratively plunges them through the looking glass into a phantasmagoric dream world. — Stephen Holden",NYT
True Romance,"Road caper that eventually goes Hollywood, hilariously. Vibrant, grisly, gleefully amoral.",NYT
Carlito's Way,"In Brian De Palma's film a major crime figure (Al Pacino) leaves prison determined to go straight but gets sucked back into the old life by his lawyer (Sean Penn) and other bad influences.
",NYT
The Untouchables,“The Intouchables” is an ingratiating French comedy of cross-racial friendship.,NYT
The Untouchables,T-men vs. Capone in 1930's  Chicago. Evocative and great-looking.,NYT
The Hateful Eight,Mr. Tarantino’s western tale of vengeance settles outlaws and bounty hunters around the fire to chat — until it’s time to start killing one another.,NYT
The Nightcrawlers,"Two films — one on the violent antidrug campaign in the Philippines, another on refugees from Myanmar — screen together.",NYT
Nightcrawler,"In &#8220;Nightcrawler,&#8221; Jake Gyllenhaal plays a freelance videographer who tries to corner the market on grisly images of crime and accident scenes.",NYT
I Saw the Devil,"The South Korean director Kim Jee-woon offers “I Saw the Devil,” an operatically violent revenge fantasy with stunning production values.",NYT
The Girl With the Dragon Tattoo,"David Fincher’s adaptation of “The Girl With the Dragon Tattoo,” starring Rooney Mara and Daniel Craig, holds onto the vivid and passionate essence of the book.",NYT
The Girl with the Dragon Tattoo,"In “The Girl With the Dragon Tattoo,” Noomi Rapace more or less looks the part that the filmmakers don’t let her fully play.",NYT
Captain Phillips,"Based on a true story of a hijacking by Somali pirates, “Captain Phillips” begins as something of a procedural about men at work and morphs into a jittery thriller.",NYT
In Our Mothers' Gardens,The Netflix documentary sets out to show how maternal lineages have shaped generations of Black women.,NYT
True Mothers,Parents clash in this Japanese melodrama from Naomi Kawase.,NYT
Godmothered,An inexperienced fairy godmother tries to make over a Bostonian single mom in this modernized fairy tale.,NYT
Mother,Rodrigo Sorogoyen’s feature about a mother in Spain whose son disappears is a compelling and unsettling character study.,NYT
Our Mothers,A young anthropologist is on a mission in this feature debut from César Díaz.,NYT
The Disappearance of My Mother,"Benedetta Barzini, couture star and cultural critic, reluctantly faces her son’s camera in a tender and harsh documentary.",NYT
Motherless Brooklyn,"The actor directs and stars (along with Gugu Mbatha-Raw and Alec Baldwin) in a big, ambitious adaptation of Jonathan Lethem’s prizewinning novel.",NYT
Black Mother,"In Khalik Allah’s poetic movie, the most prevalent perspective is not that of a documentarian, but of a filmmaker’s love.",NYT
Mother!,"Jennifer Lawrence and Javier Bardem portray a couple in Darren Aronofsky’s film, a religious allegory with visual wit and dexterous camera work.",NYT
The Eyes of My Mother,"A dark maturation unfolds in this story, from a child coolly absorbing an anatomy lesson to a traumatized adult taking on a more participatory role in death.",NYT
When the Bough Breaks,"This movie, about a well-off couple and the woman they hire to carry their embryo, looks for suspense in a genre that has little left.",NYT
Mothers and Daughters,"Written by Paige Cameron, this movie includes many of the difficult conversations typical of these relationships, just in time for Mother’s Day.",NYT
Mother’s Day,"Jennifer Aniston, Kate Hudson and Julia Roberts star in this holiday-themed film that generates inadvertent laughs and has predictable plotlines.",NYT
"Look at Us Now, Mother!","In a film that promises an “epic journey” to explore her family’s “long-buried suffering,” the director, Gayle Kirschenbaum, interviews her mother, now in her 90s.",NYT
The Second Mother,"In Anna Muylaert&#8217;s Brazilian drama, the maid&#8217;s teenage daughter comes to visit and doesn&#8217;t seem to care for a lot of the rules.",NYT
Mother of George,"“Mother of George,” Andrew Dosunmu’s new drama, is not only an assimilation story, but also a keenly observed tale of two people seeking guidance in painful and complicated circumstances.",NYT
I Killed My Mother,The plot of “I Killed My Mother” centers on the difficult relationship between a teenager and his parent.,NYT
In My Mother's Arms,“In My Mother’s Arms” follows the happenings at a Baghdad shelter for 32 boys.,NYT
"Deconstructing Dad: The Music, Machines, and Mystery Of Raymond Scott","In “Deconstructing Dad,” Stan Warnow tries to understand his elusive father, the musical inventor Raymond Scott.",NYT
Mother's Day,"In “Mother’s Day,” Rebecca De Mornay is back as a more tight-lipped version of the psychotic nanny she embodied in “The Hand That Rocks the Cradle.”",NYT
The Chaser,The South Korean thriller “The Chaser” evokes both film noir and the television police procedural in its straightforward storytelling.,NYT
The White Ribbon,"“The White Ribbon,” by Michael Haneke, is an unnerving but unsatisfying chronicle of a German village filled with hidden cruelty, set on the eve of World War I.",NYT
The Trial of the Chicago 7,Aaron Sorkin and an all-star cast re-enact a real-life ’60s courtroom drama with present-day implications.,NYT
Changing the Game,Three transgender high schoolers confront the fraught world of student athletics in this documentary that takes a controlled approach.,NYT
True to the Game,A drug lord finds love and tries to exit his way of life in this movie based on the Teri Woods novel.,NYT
Keepers of the Game,"Judd Ehrlich’s documentary chronicles a season in the life of the Salmon River Shamrocks, a Native American girl’s lacrosse team.",NYT
When The Game Stands Tall,“When the Game Stands Tall” recounts how a high school football team with a record-breaking winning streak handled losing.,NYT
Finishing the Game,"A faux documentary grounded in ethnicity and mired in absurdity, “Finishing the Game” is a terrific idea still waiting to be fashioned into a real movie.",NYT
The Game Plan,“The Game Plan” is so likable that it glides over its many plot holes.,NYT
The Heart of the Game,"The hoop dreams of the teenage girls in the documentary ""The Heart of the Game"" are fairly straightforward if a wee bit intense. ",NYT
For Love of the Game,Aging Detroit Tigers pitcher. Routine.,NYT
The Game,Control freak's life disrupted.,NYT
Surviving the Game,Wealthy hunters recruit a homeless man to be their prey. Talky and tame.,NYT
Murder on the Bridge,"Colorful, biting criminal trackdown.",NYT
The Name of the Game Is Kill,Victim: male hitchhiker. Not reviewed by us.,NYT
The Rules of the Game,Prewar decadence at French chateau shooting party. Memorable Renoir comedy-drama.,NYT
The Fugitive,"Super juggernaut of an adventure owes nothing to the past, including that series.",NYT
The Fugitive Kind,"``Orpheus Descending'' via Tennessee Williams. Strong and haunting, with grand chemistry.",NYT
The Fugitive,"John Ford drama of Mexican rebel priest, via Graham Greene. Powerful.",NYT
Misery Loves Comedy,"Kevin Pollak&#8217;s survey of professional comics is an evident labor of love, but traffics more in abstraction than in revelations about the creative process.",NYT
Misery,"Writer becomes prisoner of deranged fan, Stephen King style. Funny, gaudy Bates.",NYT
Mississippi Burning,"Slain civil rights workers. Sizzling, relentless drama.",NYT
"Bikram: Yogi, Guru, Predator",This unsettling expose about the founder of Bikram yoga is the opposite of a meditative reprieve.,NYT
The Predator,"Parody and fan service take precedence in this new entry in the franchise, starring Boyd Holbrook and Olivia Munn. Shane Black directed.",NYT
Predators,"Nimrod Antal’s “Predators,” a spinoff of John McTiernan’s 1987 “Predator,” is less karmic morality tale than pulpy cartoon.",NYT
Aliens vs. Predator: Requiem,"The second “Aliens vs. Predator” film is, like its predecessor, one very dark movie. Not psychologically dark; dark  dark, as in not very generously lighted.",NYT
Maxed Out,“Maxed Out” examines why the most vulnerable segment of society is victimized by the lending industry and finds a simple answer: It’s obscenely profitable.,NYT
Alien vs. Predator,"Set in a Jules Verne world beneath the earth's surface  in an incalculably ancient pyramid buried 2,000 feet beneath the Antarctic ice cap,  Paul W.H. Anderson's film imagines an apocalyptic conflict between two of 20th-Century Fox's franchise monsters, on loan from &quot;Alien&quot; (1979) and &quot;Predator&quot; (1986).  The humans don't have much to do in &quot;Alien vs. Predator&quot; but put the plot in motion and stand back to watch it work, a precarious position that eventually claims most of them.  Though Mr. Anderson does have an idea for creating a rooting interest, it's too far-fetched even for fantasy, and the film turns into a cold but occasionally impressive special-effects extravaganza. — Dave Kehr",NYT
Predator 2,Monster with infrared vision in futuristic L.A. Mindless and mean-spirited.,NYT
Predator,Thriller set in Latin America. Alternately grisly and dull.,NYT
The King of Comedy,"Would-be comic kidnaps talk-show host for a break. No dice, not even with Scorsese.",NYT
The Conversation,"Wire-tapper in hot water, via Coppola. Eerily engrossing.",NYT
Shadow of a Doubt,"California girl suspects uncle is serial strangler. A masterpiece. Hitchcock's favorite, ours too.",NYT
Victor Frankenstein,"This film, starring James McAvoy and Daniel Radcliffe, recasts a ghoulish story into something of a buddy movie.",NYT
"I, Frankenstein","Aaron Eckhart plays a version of Mary Shelley’s monster in the new film “I, Frankenstein,” also starring Bill Nighy.",NYT
Frankenstein's Army,"“Frankenstein’s Army,” directed by Richard Raaphorst, has a plethora of unsettling — and refreshingly nondigital — zombie robots.",NYT
Frankensteins Bloody Nightmare,"Reportedly made for less than $2,000, this 1970’s-style horror oddity could pass for a perverse experiment masterminded by a mad scientist. ",NYT
Roger Corman's Frankenstein Unbound,"The monster via Roger Corman. Scenic, well played and diverting.",NYT
Young Frankenstein,Mel Brooks's comic bull's-eye.,NYT
Andy Warhol's Frankenstein,Shrill and feeble.,NYT
The Horror of Frankenstein,You know the plot. Up to you.,NYT
Frankenstein Must Be Destroyed,Better than average.,NYT
Frankenstein's Daughter,No better than she should be.,NYT
I Was a Teenage Frankenstein,Weren't we all? Scratch it.,NYT
The Curse of Frankenstein,The mixture pretty much as before.,NYT
Abbott and Costello Meet Frankenstein,"And Count Dracula and Wolfman too, but of course only Costello notices them. Right off the Universal assembly line.",NYT
House of Frankenstein,"Evil scientist meets other monsters. Entirely too many visitors, including Drac and Wolfie.",NYT
The Ghost of Frankenstein,Business as usual.,NYT
Bride of Frankenstein,Doctor builds companion for monster. Knockout sequel.,NYT
Frankenstein,Highly artistic shocker. Made Karloff a star.,NYT
Wind River,A rookie investigator meets her match while investigating a murder on an Indian reservation.,NYT
Dreamland,"In this 1930s drama, Margot Robbie plays a bank robber who finds an unlikely partner in crime in Finn Cole’s teenage dreamer.",NYT
H is for Happiness,The cuteness and cheer of this film is offset by a refreshingly direct take on depression and despair.,NYT
Abe,A feel-good setup turns out to be a recipe for a joyless production.,NYT
Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,Margot Robbie stars as the cosplay favorite Harley Quinn in a movie that plays at provocation but declines to provoke anything like a thought.,NYT
Bombshell,"Charlize Theron, Nicole Kidman and Margot Robbie star in a story about the fall of Roger Ailes.",NYT
Framing John DeLorean,"Mixing documentary and fictionalized re-enactment, a new film about the mythic automaker tells a quintessentially American story of ambition and greed.",NYT
Jihadists,"In this French documentary, extremists in Mali, Tunisia and Mauritania preach to the camera. If its directors offered any pushback, it doesn’t show.",NYT
Mary Queen of Scots,"Saoirse Ronan is the doomed Scottish queen, and Margot Robbie is her cousin Elizabeth I in this vigorously revisionist historical drama.",NYT
Terminal,"In this hackneyed noir pastiche, Margot Robbie leads a handful of hard-boiled characters through a Tarantino-esque dystopia.",NYT
Saturday Church,"Luka Kain is a find in “Saturday Church,” as a gay teen seeking acceptance and friendship.",NYT
Wormwood,The American filmmaker chases down clues and tries to exorcise demons as he tackles the biggest case of his career.,NYT
"I, Tonya","In this winking biopic, Margot Robbie plays the disgraced ice skater Tonya Harding.",NYT
11/8/16,The documentary followed more than 16 people to the polls on Election Day to learn about their thoughts and feelings on the candidates.,NYT
Goodbye Christopher Robin,Christopher Robin is more of a marketable commodity than a beloved son in this film by Simon Curtis.,NYT
Santoalla,"A Dutch couple goes off the grid to live a quiet life in Spain, but their idyll ends in a true crime mystery that is the subject of this documentary.",NYT
Live Cargo,"This first feature by the director Logan Sandler has great acting, stunning imagery and a vivid Caribbean setting. But its words prove elusive.",NYT
Whiskey Tango Foxtrot,"Based on Kim Barker’s memoir, “The Taliban Shuffle,” the comedy depicts the battle-tested experience of a journalist in Afghanistan.",NYT
Slow Learners,This comedy stars Adam Pally and Sarah Burns as awkward schoolteachers who resolve to live on the wild side over summer break.,NYT
Focus,Mr. Smith plays a seasoned con man who schools a novice (Margot Robbie) in more sophisticated scams.,NYT
Days and Nights,Christian Camargo&#8217;s &#8220;Days and Nights&#8221; is a modern reworking of Chekhov&#8217;s &#8220;The Seagull.&#8221;,NYT
Applause,"Paprika Steen stars as an alcoholic actress in “Applause,” by Martin Pieter Zandvliet.",NYT
Paprika,"In “Paprika,” a gorgeous riot of future-shock ideas and brightly animated imagery, the doors of perception never close.",NYT
Changeling,"When it works best, “Changeling” is a feverish and bluntly effective parable of wronged innocence.",NYT
Ex Machina,"In Alex Garland&#8217;s film, an Internet mogul creates a gorgeous robot named Ava, with unsettling consequences.",NYT
The Last King of Scotland,Kevin Macdonald's queasily enjoyable fiction film creates a portrait of the Ugandan dictator Idi Amin from inside the palace walls. ,NYT
Chinese Zodiac,Jackie Chan revisits a quest for totemic animals in “Chinese Zodiac.”,NYT
Zodiac,"David Fincher’s magnificently obsessive new film, “Zodiac,” is part police procedural, part monster movie, a funereal entertainment that is a testament to this cinematic savant’s gifts.",NYT
Black Book,"Paul Verhoeven’s “Black Book” encompasses the best and very worst of its director’s signature pulp brutalism, which means it’s pretty much a hoot.",NYT
Little Black Book,"This movie starring Brittany Murphy as an ambitious associate producer  of a trashy television talk show aspires to be a dewy-eyed self-help fable for ambitious  young women folded into a mean-spirited satire of Jerry Springer-style reality  programming. Offering few laughs and a climactic scene of breathtaking cruelty, the plot-heavy movie draws you against your will into its malignant force field. Almost from the  beginning, the film's sugary and rancid strains work against each other. To put it another  way, &quot;Little Black Book&quot; would like to be a wised-up but still starry-eyed &quot;Working Girl&quot;  and a more acerbic &quot;Broadcast News.&quot; In trying to be both things at once, it can't hold a candle to either forerunner. Batting her large vacant eyes and sucking  her lower lip into a pout, Ms. Murphy suggests a dumbed-down Meg Ryan with a gloss  of Melanie Griffith. — Stephen Holden",NYT
The Black Book,"The French Revolution and a key diary. Colorful, interesting.",NYT
Crash Pad,"A slacker, his lover and his lover’s husband make a sticky love triangle in this awkward comedy.",NYT
Stranded: I've Come From a Plane That Crashed in the Mountains,Gonzalo Arijón’s documentary “Stranded” offers an incontrovertible argument for the necessity of team spirit in the face of catastrophe.,NYT
Crash,"Married couple aroused by violent car accidents, via Cronenberg. Sickening.",NYT
Crashout,Fugitive convicts. Above average.,NYT
Crash Dive,"Sub warfare, back when. Tasteful, steady drama.",NYT
The Crash,Wife of stock- market loser eyes Australian sheep rancher in Bermuda.,NYT
The Bourne Supremacy,"It may sound odd to call a chilly paranoid thriller entertainment comfort food. But in the wake of 9/11, this globetrotting post-cold war melodrama full of standard cloak-and-dagger intrigue has the reassuring aroma of a home-cooked meal. There are no jihads or terrorists in sight and no apocalyptic scenarios, only dirty little secrets, as spies, counterspies from Russia and America tangle in a grubby story involving oil, sold secrets, murders and cover-ups. In this sequel to &quot;The Bourne Identity,&quot; many of the major hands who created the first film have returned, including Matt Damon as Jason Bourne (Matt Damon), the C.I.A.-trained assassin who can't remember his name or exactly why he's being hunted by everybody. As before, he spends almost the entire movie on the run. The movie reminds you that rhythms of film editing and collage making have allowed Hollywood to make the chase movie a surefire format. Plot and character ultimately don't matter much in a movie that's all about building and sustaining a mood in which visceral and emotional rhythms are blended into a high-gloss thrill ride. — Stephen Holden",NYT
Training Day,"Denzel Washington plays Detective Alonzo Harris, the Machiavellian figure in this intermittently successful police drama. Alonzo is the worst example a young officer could ever have to learn from. He is the teacher to Jake Hoyt (Ethan Hawke), who has just been assigned to undercover duties. When the picture dwells on dueling ambitions –  Jake's striving for  permanent assignment to undercover work and Alonzo's constant conning of his rookie partner – you lean in to listen. But eventually &quot;Training Day,&quot; despite Mr. Washington's virtuoso performance, becomes a glib potboiler torn from today's screaming headlines. – Elvis Mitchell
",NYT
Run Lola Run,Woman with 20 minutes to save her lover races the clock. Clever and jolting if ultimately empty.,NYT
Abre Los Ojos,Former womanizer disfigured in car crash.,NYT
Primal Fear,"Altar boy accused of murder. Glossy story, one-note characters.",NYT
A Few Good Men,"Marines and code on trial. Hard-breathing and familiar, with wonderfully nasty Nicholson.",NYT
Barton Fink,Broadway playwright caught in 1940's Hollywood meat-grinder. Coen brothers knockout.,NYT
Miller's Crossing,"Silly gangsters and tough moll, via Coen brothers. Elaborate and pointless.",NYT
The Name of the Rose,Strange deaths at 14th-century abbey. Atmospheric and intriguing.,NYT
Blue Velvet,"David Lynch's hallucinogenic mystery-thriller probes beneath the cheerful surface of suburban America to discover sadomasochistic violence, corruption, drug abuse, crime and perversion. ",NYT
After Hours,Scorsese's dark-humored SoHo odyssey. Colorful.,NYT
The Flat,"The discovery of an odd coin — a swastika on one side, a Star of David on the other — leads the director of “The Flat,” a documentary, on an investigation into his family history.",NYT
The Komediant,"A confusing disparity of tone runs through Arnon Goldfinger's documentary history of the Bursteins, a legendary Yiddish theatrical family. While its essentially downbeat story traces the decline of a once-vital theatrical culture, Lillian Lux, the surviving family matriarch, narrates the movie with such enthusiasm that her sad stories come out sounding like cozy nostalgic bedtime tales. The film, however, makes one thing abundantly clear. American musical comedy as we know it wouldn't exist without the precedent of Yiddish theater, whose jolly, fun-for-fun's-sake communal spirit goes to the essence of Broadway. — Stephen Holden",NYT
Goldfinger,"James Bond in Miami, Britain, Alps and Fort Knox. Smashing entertainment.",NYT
The 39 Steps,A not-bad remake of the Hitchcock classic. Very workmanlike.,NYT
The 39 Steps,Innocent man on the run. Super old Hitchcock thriller.,NYT
Dark Waters,"In Todd Haynes’s latest, Mark Ruffalo plays a corporate defense lawyer who switches sides to defend a poisoned community.",NYT
Dark Waters,"Good atmosphere, some suspense in creepy Dixie mansion, but only middling-good.",NYT
Searching Eva,"This portrait of a professed sex worker, writer, anarchist, feminist, musician and recovering addict is a tough film to pin down.",NYT
Searching for Ingmar Bergman,"A new documentary featuring interviews with collaborators and critics makes clear that Bergman, for all his depth, was also an entertainer.",NYT
Searching,"The entirety of the action in Aneesh Chaganty’s psychological thriller unfolds on screens, apps and online.",NYT
Seoul Searching,"Set in 1986, the film introduces globally scattered youngsters to their heritage in a plot that both critiques and embraces stereotypes.",NYT
Searching For Home: Coming Back From War,"Eric Christiansen&#8217;s documentary explores the struggles of veterans who returned home from World War II and succeeding conflicts, from the wars in Korea and Vietnam to those in Iraq and Afghanistan.",NYT
Searching for Sugar Man,"A Swedish filmmaker seeks to solve the mystery of a Detroit musician who disappeared after his first album bombed, but whose songs became immensely popular in 1970s South Africa.",NYT
Searching for Bobby Fischer,Does for chess what ''Red Shoes'' did for ballet. Appealing family drama with winning young protagonist.,NYT
The Searching Wind,Hellman play about passive American diplomat as Naziism spreads. Rather stacked but intelligent drama. Sylvia best.,NYT
Train to Busan,"Yeon Sang-ho’s film, set on a South Korean bullet train, pits passengers against the spastic undead.",NYT
Hotel Mumbai,The film re-creates the November 2008 terrorist attacks in Mumbai through the eyes of a sprawling international ensemble.,NYT
The Elephant Queen,"In footage shot over several years, this documentary follows a herd of elephants across the Kenyan savanna.",NYT
Holiday,"The director Isabella Eklof inverts revenge conventions in her debut film, in a way that dares the audience to call it perverse.",NYT
The Death and Life of Marsha P. Johnson,"The documentary, by David France, looks at the death of the transgender activist. Police say it was suicide; friends suspect it was murder.",NYT
Victoria and Abdul,“Victoria and Abdul” sees a queen in a life-changing relationship with a Muslim Indian man.,NYT
Graduation,An excruciating ethical problem arises for a man whose dream for his daughter — to win a scholarship to study in England — is threatened.,NYT
My Friend Victoria,This adaptation of a 2004 Doris Lessing short story follows the life of a young black woman in contemporary Paris.,NYT
Victoria,"Directed by Sebastian Schipper and filmed in one continuous take, this thriller tracks a young woman as she gets involved in an early-morning heist.",NYT
Archaeology of a Woman,"In “Archaeology of a Woman,” Sally Kirkland plays an ex-newspaper columnist battling dementia while a murder mystery unfolds.",NYT
Yelling to the Sky,In “Yelling to the Sky” a quiet teenager named Sweetness moves through a sometimes brutal life like a leaf caught on the wind.,NYT
Fun Size,The Nickelodeon star Victoria Justice plays a high-school student chasing down her lost little brother on Halloween in “Fun Size.”,NYT
Francine,"Melissa Leo plays a granite-faced, taciturn woman who connects more easily with animals than with people.",NYT
Toast,"“Toast,” based on the memoir by the food writer Nigel Slater, tells the story of a young man obsessed with cooking.",NYT
The Young Victoria,“The Young Victoria” is a frivolously entertaining film with Emily Blunt as the young monarch.,NYT
El Cant dels ocells,The lovely and strange “Birdsong” (“El Cant dels Ocells”) is less a retelling of the Nativity story than a dream about it.,NYT
Bendito Infierno,"Agustín Díaz Yanes brings together two of the reigning stars of the Spanish cinema, Victoria Abril and Penélope Cruz, for an unfocused, painfully derivative comic fantasy, rather too squarely in the tradition of &quot;Here Comes Mr. Jordan&quot; and &quot;The Bishop's Wife.&quot;  Ms. Abril is an emissary of heaven sent to save the soul of a battered boxer, Manny (Demián Bichir); Ms. Cruz is her infernal counterpart, whose mission is to force Manny back into the ring where he will probably be killed.  Oddly, the film backs away from its fantasy premise and turns into a typical European workplace drama, as the two women, having found jobs in an American-style supermarket, get involved in labor issues.   The picture is at once painfully derivative and maddeningly overplotted. &#151; Dave Kehr",NYT
101 Reykjavik,"Baltasar Kormakur's cagey, wafer-thin Icelandic comedy brims with surliness, from Hlynur, its remorseless, do-nothing protagonist, to its score by Damon Albarn of Blur and Einar Orn Benediktsson of the Sugarcubes. Hlynur is nearly 30 and talks a wry game about being unwanted and unemployable when he just doesn't want to expend the effort it takes to leave his mother's house. When he does get out, it is to perform activities that are sure to upset people and bring a disdainful smirk to his face. So, when Lola (Victoria Abril) comes to stay with his mother, Hlynur finds enough energy to stumble into a clinch with her. The movie feels as though it is not about much, but it is so well acted that the lassitude becomes a part of the atmosphere. - Elvis Mitchell
",NYT
Stardom,"Rise of a supermodel. Resistible, out-of-touch satire.",NYT
Deja Vu,American shopkeeper meets British soul mate on Cliffs of Dover. Wildly romantic.,NYT
Last Summer in the Hamptons,"Theatrical clan gathers at matriarch's estate. Narcissism, Jaglom style.",NYT
French Twist,Housewife pretends to fall for lesbian. Risque comedy.,NYT
Baby Driver,"Burning rubber and hot licks help propel this action movie about a getaway driver named Baby, played by Ansel Elgort. Edgar Wright directed.",NYT
Sicario: Day of the Soldado,"This sequel to “Sicario,” starring Benicio Del Toro and Josh Brolin, is also a geopolitical action thriller and a samurai picture.",NYT
Sicario,"Denis Villeneuve’s new movie, which stars Emily Blunt and Josh Brolin, tries to paint a morally complicated picture instead of restaging a morality play.",NYT
El Sicario Room 164,"In “El Sicario, Room 164,”’ a reformed hit man for the Mexican drug cartel regales us with 20 years’ worth of kidnapping, torture and cold-blooded murder.",NYT
The Wave,Roar Uthaug’s disaster movie follows a family and others in a Norwegian village confronting a crumbling mountain and the cataclysm that follows.,NYT
The Wave!,"“The Wave,” based on a 1967 teaching experiment in California, transplants the action to modern-day Germany, where a classroom is turned into a groupthink dictatorship.",NYT
Two in the Wave,"“Two in the Wave,” about the French New Wave filmmakers François Truffaut and Jean-Luc Godard, is interested in its subjects’ artistic personalities.",NYT
Breaking the Waves,Innocent Scottish wife encouraged by paralyzed husband to take lovers. Wrenching tour de force.,NYT
Above Us the Waves,British midget subs vs. Nazi battleships. Steady going.,NYT
Crest of the Wave,Okay but plodding English-made war drama. Slow tide.,NYT
Here Come the Waves,"Pleasant and melodic, good batch of tunes. Our pet: ``Let's Take the Long Way Home.''",NYT
Eastern Promises,"Even as the turns of its narrative and the contours of its characters are recognizable, very little about “Eastern Promises” feels predictable or secondhand.",NYT
Gone Baby Gone,"With “Gone Baby Gone,” Ben Affleck has taken a satisfyingly tough look into conscience, to those dark places where some men also go astray.",NYT
The Illusionist,"The director Sylvain Chomet adapts a Jacques Tati screenplay in “The Illusionist,” about the friendship between a struggling magician and a teenage girl.",NYT
The Illusionist,Neil Burger's screen adaptation of a short story by Steven Millhauser gives Edward Norton a role that perfectly fits his disturbing inscrutability.,NYT
Dead Man's Shoes,"Despite a powerful performance by Paddy Considine, Shane Meadows's unsparing revenge thriller is ultimately a typical slasher film at the core.",NYT
Honeydew,A camping trip gone wrong lands a tetchy couple at a remote farm in this horror tale.,NYT
On-Gaku: Our Sound,"The anime film, which took seven years to produce, combines groovy musical vibes with delightfully deadpan humor.",NYT
Night of the Kings,Ancient tradition fuses with modern struggles in a prison in Ivory Coast.,NYT
To the Ends of the Earth,A Japanese TV host is lost in and out of translation in Uzbekistan.,NYT
Monsoon,Henry Golding plays a man who returns to the Vietnam of his childhood in Hong Khaou’s thoroughly personal drama “Monsoon.”,NYT
The Fanatic,"Sporting the worst looking hair of his entire career, the actor plays Moose, a genre-movie enthusiast and autograph hound.",NYT
Velvet Buzzsaw,"In this bilious satire, Jake Gyllenhaal plays an art critic on the edge of sanity as the paintings he covets turn murderous.",NYT
Before We Vanish,The latest from the Japanese horror master Kiyoshi Kurosawa is a philosophical inquiry as a prelude to extraterrestrial invasion.,NYT
Hacksaw Ridge,"Mel Gibson’s new film tells the true story of Desmond Doss, a conscientious objector who refused to bear arms but still won the Medal of Honor in World War II.",NYT
Creepy,"Kiyoshi Kurosawa’s movie, blends elements of a detective story, horror film, domestic drama and psychological thriller to create a kind of existential dread.",NYT
Southside With You,"The writer-director Richard Tanne builds on the Obamas’ first date, in Chicago, in this worshipful film.",NYT
Our Little Sister,"With brilliant narrative stealth, Hirokazu Kore-eda’s film watches as three single women welcome their long-lost teenage half sister into their lives.",NYT
I Saw the Light,"The British actor Tom Hiddleston stars (and sings) as the music legend, leading with charm and a twang in this film written and directed by Marc Abraham.",NYT
Misconduct,"This action thriller, the directorial debut of Shintaro Shimosawa, also features Al Pacino as a lawyer caught in a power struggle with a corrupt pharmaceutical executive.",NYT
Survivor,A security inquiry into visa requests leads to assassination attempts in this film directed by James McTeigue.,NYT
Powstanie Warszawskie,"&#8220;Warsaw Uprising&#8221; harnesses archival film from that World War II resistance battle, even using actors to recite what on-camera subjects might have been saying.",NYT
Elaine Stritch: Shoot Me,"There is no one quite like Elaine Stritch, who is captured in a film biography as she prepares a cabaret show of Sondheim songs.",NYT
Vic+Flo Saw a Bear,"“Vic + Flo Saw a Bear,” starring Pierrette Robitaille and Romane Bohringer, starts with eccentric humor and ends as a scary tale of revenge.",NYT
When I Saw You,"In “When I Saw You,” a young Palestinian boy runs away from a refugee camp in 1967 and ends up with a band of volunteer soldiers preparing to fight Israelis.",NYT
The Last Time I Saw Macao,"“The Last Time I Saw Macao,” a Portuguese-language film, explores the themes of contested territory and fragmentation.",NYT
Traffic,"Not since &quot;Nashville&quot; or maybe even &quot;The Godfather&quot; has Hollywood turned out an epic as resonant as Steven Soderbergh's densely layered study of the Mexican drug trade and its devastating impact on the United States. In weaving together multiple stories, this intricate thriller, adapted from a British mini-series, jumps from Tijuana to Washington to San Diego to suburban Ohio. Michael Douglas is the new American drug czar, Catherine Zeta-Jones the ruthless wife of a busted drug lord and Benicio Del Toro a Mexican policeman. Don Cheadle and Luis Guzman are a team of government agents whose bust of a cynical midlevel dealer (Miguel Ferrer) precipitates much of the drama. Shot with hand-held cameras, &quot;Traffic&quot; builds into a profound and gloomy meditation on greed, violence and contemporary ennui. — Stephen Holden",NYT
Human Traffic,Impotent young man on drug-alcohol binge. Blissfully hedonistic if sometimes exhausting.,NYT
